Tour Name,Type,Rating,Number of reviews,Price,Duration (hrs)
Watch Morning Practice at a Sumo Stable in Tokyo,Sports Lessons,4.0,49,74.26,1.0
Shinjuku Nightlife Walking Tour & Golden-Gai Bar Crawl,Food & Drink,5.0,26,868.79,2.0
1 Day private car/van Nikko sightseeing tour with “English Speaking Driver”,Car Tours,5.0,9,181.0,5.5
Comprehensive SAMURAI course at a real dojo(Iai・Gekken・Test cutting）,Martial Arts Classes,5.0,9,14.48,1.5
Tokyo Walking Tour with Licensed Guide Shinjuku,Historical Tours,5.0,74,86.88,1.0
Tokyo West-Side Cycling & Food Tour,Bike Tours,5.0,99,469.51,3.5
Private One Day Nikko Tour with Bilingual driver,Bus Tours,4.5,4,1194.59,6.0
Private Tour: Chartered Car to Mt. Fuji Lake Kawaguchiko or Hakone and Lake Ashi,Bus Tours,5.0,107,186.07,10.5
Private Custom Tour: Tokyo in a Day,Bus Tours,5.0,267,188.0,6.0
Kabukicho Izakaya Food Tour and Golden Gai Experience in Shinjuku,Adventure Tours,5.0,107,101.36,3.0
Tokyo Tsukiji Outer Market Walking Tour and Rolled Sushi Class,Bus Tours,5.0,152,202.19,3.0
DAIKOKU excursion by car DRIFT automobile encounter,Adventure Tours,5.0,6,181.0,4.0
TOKYO & DAIKOKU PA (Car Enthusiasts Meeting Place) Open Car Tour.,Adventure Tours,5.0,7,72.4,3.5
Experience Old and Nostalgic Tokyo: Yanaka Walking Tour,Food & Drink,5.0,201,122.36,3.5
Sumo Tournament Experience in Tokyo,Sporting Event Tickets & Passes,5.0,5,33.67,4.0
Explore the Hidden Local Bars in Shinjuku - 3.5 Hours,Food & Drink,4.5,10,124.0,3.5
A 90 min. Tea ceremony Workshop In The Authentic Tea Room,Unique Experiences,5.0,36,137.56,36.0
Enjoy a Japanese Cooking Class with a Humorous Local Satoru in his Tokyo Home,Food & Drink,5.0,4,401.82,2.5
Half Day Rural E-Bike Tour in Hida,E-Bike Tours,5.0,61,70.0,3.5
Private One Day Tokyo City Tour with Bilingual driver,Bus Tours,4.0,19,144.8,6.0
Vegan/Vegetarian Ramen and Gyouza,Food & Drink,5.0,33,190.71,2.5
Tokyo Private Sightseeing Tour by Bike with Water Bus,City Tours,5.0,2,110.0,6.0
Akihabara Private Anime & Gaming Food Tour Tailored To Your Taste,Shopping Tours,4.5,4,29.3,4.0
Sumo Morning Practice Tour at Stable in Tokyo,City Tours,5.0,37,52.13,2.0
Japanese Pottery Class in Tokyo,Craft Classes,5.0,1,94.12,1.0
Tokyo Go-Kart Rental with Local Guide from Akihabara,Unique Experiences,5.0,3,126.7,1.5
"Mt. Fuji, Mt Fuji Panoramic Ropeway & Seasonal Fruits Picking",Bus Tours,5.0,1,72.4,6.0
Tokyo Sumo Morning Practice Tour in Ryogoku with Sumo Lunch,Private and Luxury,5.0,122,195.48,3.5
Tokyo downtown bicycle tour Tokyo Backstreets Bike Tour,City Tours,5.0,39,108.6,4.0
1-Day Rural E-Bike Tour in Hida,E-Bike Tours,5.0,168,145.0,6.0
Japanese Archery (Kyudo) Experience in Tokyo,Shooting Ranges,4.0,8,448.88,2.0
Tsukiji and Asakusa Food and Drink Cultural Walking Tour (Half day),Unique Experiences,5.0,24,130.32,5.5
1 Day Private Tokyo Sightseeing Tour Car/Van with “English Speaking Driver”,City Tours,4.5,25,101.36,6.0
Freely set up plans Guided Private Tours in Tokyo,Rail Tours,5.0,28,123.08,7.0
Tokyo Food & Culture Half-Day Private Tour with Government-Licensed Guide,City Tours,5.0,11,100.0,4.0
