Tour Name,Type,Rating,Number of reviews,Price,Duration (hrs)
Discover Japanese Tea Blending Techniques in Tokyo,Food & Drink,5.0,1,61.54,2.0
Let's Shodo (Japanese calligraphy) !!,Unique Experiences,5.0,4,94.12,1.5
"YANAKA home cooking experience, homely and local style.",Food & Drink,5.0,45,32.58,2.0
Tokyo Fuji Art Museum Admission Ticket + Special Exhibition (when being held),Museums,5.0,6,850.0,2.5
Understanding Japanese Culture Mythology and Lifestyle Through Study of Shinto,Unique Experiences,5.0,1,89.99,3.0
"3-hour Tokyo Good Old Bike Tour - Cycling to the Old towns, Asakusa & Ueno",City Tours,5.0,4,36.2,3.1
A typical evening in Shinjuku,Nightlife,5.0,2,21.72,3.0
Tattoo-friendly open-air Onsen & drink,Onsens,5.0,3,185.64,1.5
Full Day Tour in Mt Fuji and Kawaguchiko - up to 13 Travelers,Bus Tours,5.0,20,651.59,6.0
3-Hour Guided Musubi Japanese Home Cooking Class,Food & Drink,4.0,28,195.0,2.5
Licensed Guide Shinjuku Underground Mall Tour (Tokyo),Shopping Tours,5.0,1,188.24,3.0
"English Stand up Comedy Show in Tokyo ""My Japanese Perspective""",Public Transportation Tours,5.0,3,133.94,1.5
Private Photo shooting for Family Photos in Tokyo!,Photo Shoots,5.0,2,20.42,1.0
Tokyo Private Day Tour by Car with English speaking Driver Guide,Shopping Tours,5.0,1,120.0,6.0
Kimono in Asakusa,Photo Shoots,5.0,41,320.0,3.0
1 Hour Travel around Tokyo with a Professional Photographer,Photo Shoots,5.0,8,238.19,1.0
Private Tokyo Local Food and Drink Tour with a Bar Hopping Master,Food & Drink,5.0,1,52.79,2.0
"Refreshing in Asakusa! Tile-breaking / kawara smash in Asakusa, Tokyo",Unique Experiences,5.0,20,123.08,0.5
LGBT Tokyo Then and Now,Food & Drink,5.0,1,36.2,3.0
Fukushima Exclusion Zone Day Tour from Tokyo,Bus Tours,5.0,38,392.39,6.0
Private tour: Tokyo's Oldest Sake Brewery and riverside walk.,Spring Break,5.0,1,83.26,6.0
Tokyo Haneda Airport (HND) to Tokyo hotel or address - Arrival Private Transfer,Transportation Services,5.0,11,371.41,0.4
Sushi Making Studio mini,Food & Drink,5.0,1,224.44,2.5
[30 minutes] Asakusa ancient trip plan by rickshaw ~ Tour of Tokyo Sky Tree,City Tours,5.0,9,108.6,0.5
Kamakura Day Trip from Tokyo with a Local: Private & Personalized,City Tours,5.0,8,49.96,6.0
Food Crawl Tour in Asakusa,Food & Drink,5.0,3,112.22,2.5
1-Day Kyoto Rail Tour by Bullet Train from Tokyo,Bus Tours,5.0,6,152.04,6.0
Hakone Full-Day Private Tour By Public Transportation,Rail Tours,5.0,17,48.0,6.0
Private Day Tour In Tokyo with a Native English Speaker,Rail Tours,5.0,6,76.02,6.5
Sushi Nigiri Experience + Japanese Sake Drinking Set in Tokyo,Food & Drink,5.0,6,121.63,2.0
2hours kendo experience in Tokyo,Sports Lessons,5.0,6,66.21,2.0
Tokyo Neon Night Tour: Say Kanpai (Cheers) in Shinjuku’s Red Light District,Food & Drink,5.0,3,181.0,3.0
Tokyo Japanese Garden Lover's Private Tour with Government-Licensed Guide,Public Transportation Tours,5.0,1,334.84,6.0
Private Half-Day Tour Colorful and Busy Street in Central Tokyo,Shopping Tours,5.0,2,279.91,4.0
Harajuku Kawaii Fashion & Pop-culture Tour,Fashion Shows,5.0,2,1049.79,3.0
Vegetarian Ramen and Gyoza!,Food & Drink,5.0,1,289.6,3.0
Best of Tokyo's Shopping & Food: Japanese Traditions Experience,Food & Drink,5.0,1,252.67,3.0
"Cherry Blossom highlights, Asakusa, Ueno, Imperial Palace Garden",Rail Tours,5.0,2,170.14,7.5
Private Custom Day In Tokyo: Secrets and Highlights with a Local Guide,City Tours,5.0,2,54.3,6.0
"Tokyo Family Tour with a Local Guide, Private & Tailored to You",City Tours,5.0,1,72.4,4.0
Private Custom Tokyo Tour VIP,Bus Tours,5.0,2,669.7,6.0
Hakone Full-Day Private Tour(Tokyo DEP.) with Government-Licensed Guide,Cable Car Tours,5.0,1,202.72,6.0
Ikebukuro Food Tour With Master Guide Family Friendly Experience,Food & Drink,5.0,2,231.68,4.0
"Hakone Private One Day Tour From Tokyo: Mt Fuji, Lake Ashi, Hakone National Park",Bus Tours,5.0,4,173.76,6.0
One Day Highlights Tour of Tokyo including Shibuya Sky Tickets,City Tours,5.0,1,673.32,6.0
Discover the wonders of Edo Tokyo on this amazing small group tour!,Historical Tours,5.0,2,543.0,4.0
Old Town Tokyo: Shinagawa-Juku Walking Tour,Historical Tours,5.0,1,185.0,3.0
Tokyo Private Tour,Bus Tours,5.0,1,152.04,6.0
8-hour Tokyo tour by qualified tour guide using public transport,Full-day Tours,5.0,1,463.36,6.0
Nikko Private Tour by public transportation,Historical Tours,5.0,1,558.2,6.0
Tokyo Custom Full Day Tour,Public Transportation Tours,5.0,1,201.43,6.0
Mount Fuji Highlights Full Day Private Trip from Tokyo,Historical Tours,5.0,1,170.86,9.0
Mount Fuji & Hokane Lakes with English-speaking Guide,4WD Tours,5.0,1,575.58,9.0
Harajuku Private Family Friendly Food Tour Tailored To Your Taste,Food & Drink,4.0,1,616.12,4.0
Tokyo Shopping Street Hopping Private Tour with Government Licensed Guide,Public Transportation Tours,3.5,3,99.55,6.0
1 Day Tokyo Private Tour with English Speaking Guide,Full-day Tours,3.5,2,120.0,8.5
Tokyo Layover 5 Hours Private Tour,Bus Tours,3.5,2,313.91,5.0
"Tokyo Sake Tour with a Local Guide, Private & Tailored to Your Taste",Food & Drink,2.5,12,119.46,3.0
Mt Fuji and Hakone 1 Day Bus Tour from Tokyo,Audio Guides,3.0,1,28.96,6.0
Private Tour Kamakura and Enoshima With English Speaking Guide,Bus Tours,3.0,1,28.96,6.0
Cherry Blossom Private Tour,Bus Tours,2.0,1,165.0,4.0
Tokyo Custom Half Day Tour,Public Transportation Tours,1.0,1,104.98,4.0
Tokyo Sumo Morning Practice Tour with Audio Guide,Historical Tours,1.0,1,550.0,2.0
Tokyo's Unique & Unusual Tour with a Local: 100% Personalized & Private,City Tours,1.0,1,83.26,4.0
Ultimate One-day Tokyo Must-sees Tour with Photographer,Food & Drink,1.0,1,106.34,7.5
Discovering Shibuya,Historical Tours,5.0,26,57.92,2.0
Licensed Guide Shinjuku Dramatic Tour (Tokyo),Historical Tours,5.0,21,133.94,2.0
Tokyo City Private Departure Transfers to Yokohama Port,Transportation Services,5.0,12,95.57,1.0
[Tokyo Skytree Town] Sumo Wrestler's Morning Practice Tour,Likely To Sell Out,5.0,29,94.12,2.0
Tokyo to Kyoto 1-Full Day Private Guided Tour,Historical Tours,4.5,13,115.84,6.0
[70 minutes] A relaxing plan to enjoy Asakusa with a rickshaw. We also accept requests.,City Tours,5.0,15,159.28,1.5
Tokyo DisneyLand Private Transfer : from Tokyo to DisneyLand (One Way),Transportation Services,5.0,7,94.12,1.0
Half-Day Local Cycling Tour on a High-end Cross Bike in Tokyo,Historical Tours,5.0,14,58.64,5.0
Mt. Fuji & Hakone Bullet Train 1 Day Tour From Tokyo Station Area,Historical Tours,5.0,11,57.08,6.0
Samurai Experience in Tokyo / SAMURAI've,Sports Lessons,5.0,14,108.6,1.0
Discover Tokyo with your Own Personal Photographer,Photo Shoots,5.0,5,333.04,4.0
Meet and Greet in Haneda Airport,Transportation Services,5.0,3,104.98,2.0
Tokyo private transfer for Haneda Airport (HND) - Toyota HIACE 9 seats,Transportation Services,5.0,7,289.6,0.8
"[Complete Series] Complete Tokyo City in 1 Day, See All 15 Sight!",Historical Tours,5.0,5,72.4,6.0
Learn How to Make Beautiful and Delicious Wagashi Sweets in Tokyo,Craft Classes,5.0,9,179.46,1.5
Japanese fermented food class,Food & Drink,4.5,9,144.8,3.5
Mt Fuji and Ashinoko with Hakone Sightseeing Cruise 1 Day Tour,Bus Tours,5.0,2,549.35,6.0
Private Asakusa and Ryogoku Walking Tour with Sumo Wrestler,City Tours,5.0,4,231.68,2.5
Mt. Fuji & Hakone 1 Day Tour From Tokyo (Return by bullet train in option）,Audio Guides,5.0,3,86.01,6.0
Mt. Fuji Five Lakes Area Private Day Trip with Licensed Guide (Tokyo Dept),Public Transportation Tours,5.0,3,86.88,6.0
Mochi Making at a Private Home in Tokyo,Food & Drink,5.0,3,181.0,2.5
Experience Izakaya With A Mini Food Tour Of Tokyo,Food & Drink,5.0,3,144.8,3.0
Private Half-Day Grand Bike Tour in Tokyo,Historical Tours,5.0,3,9556.73,5.5
Mount Fuji Day Trip from Tokyo with a Local: Private & Personalized,City Tours,5.0,2,86.88,6.0
Private Full-Day Tokyo Tour Including 5 Popular Spots,Historical Tours,5.0,2,72.4,6.0
7 Kinds of Japanese Tea Tasting Experience,Food & Drink,5.0,2,99.91,1.5
Mt. Fuji Flower Festival Tour with Ropeway Experience from Tokyo,Full-day Tours,5.0,2,219.74,6.0
Tuna auction at Toyosu Market with qualified guide and early morning tour of Tsukiji Outer Market,Food & Drink,5.0,1,121.63,3.0
Private Asakusa Sightseeing and Tsukiji Food Tour,Food & Drink,5.0,2,92.82,6.0
Private Haneda International Airport Transfers(HND) for Tokyo 23,Transportation Services,4.5,2,86.88,0.5
"From Tokyo: Nikko Toshogu Shrine, Kegon waterfall and Lake Chuzenji",Historical Tours,5.0,1,54.3,6.0
"[Complete Series] Complete Tokyo City in 1 Day, See All 10 Sight!",Rail Tours,4.0,6,74.44,6.0
"Mt. Fuji 5th Station, Owakudani Ropeway, Pirate Ship plus Outlet shopping!",Full-day Tours,5.0,1,57.92,6.0
Shinjuku Bar Hopping Night Tour (Where Locals always go) in tokyo,Food & Drink,5.0,1,72.4,3.5
Shore Excursion: Day Trip To Tokyo From Yokohama Port,Shore Excursions,5.0,1,62.08,6.0
Tokyo Tea Ceremony Experience,Food & Drink,5.0,1,115.84,1.0
Ramen Making with a Chef,Food & Drink,5.0,1,97.99,2.5
guided japanesefood tour in shibuya(tokyo),Food & Drink,5.0,1,527.54,2.5
【NEW!】Cooking Class in ASAKUSA! Making Sushi!,Food & Drink,5.0,1,28.96,2.0
Make your own BONSAI with a professional artist in Tokyo,Rail Tours,5.0,1,31.86,2.0
Shared Departure Transfer : Central Tokyo Hotel to Narita International Airport,Transportation Services,3.0,2,281.18,2.0
Minato-ku Tokyo Night Touring,Adventure Tours,1.0,1,181.0,2.5
Private Akihabara Walking Tour with Otaku and Photography,Street Art Tour,5.0,144,21.72,2.8
Experience Japanese Pottery in Omotesando,Pottery Classes,5.0,33,173.76,1.0
6-Hour-Tour Tokyo Highlights,Public Transportation Tours,5.0,36,115.84,6.0
Meiji Jingu Shrine Half-day Tour by public transportation,Fashion Tours,5.0,28,209.96,5.0
Private Tokyo Custom Half-Day Tour by Chartered Vehicle,Bus Tours,5.0,21,202.72,4.0
Licensed Guide Shinjuku Dramatic Tour Day Time (Tokyo),Historical Tours,5.0,25,70.08,2.0
Admission to Hedgehog Cafe in Harajuku,Nature and Wildlife Tours,5.0,31,28.08,1.0
Exciting Hakone - One Day Tour from Tokyo,Rail Tours,5.0,17,92.67,6.0
"Tokyo Highlights, Imperial Palace, Kiyosumi Garden, Ukiyo-e Museum",Rail Tours,5.0,24,59.37,6.5
Discovering Asakusa,Historical Tours,5.0,13,115.84,2.0
Photoshoot Tour with a Professional Photographer in Tokyo,Adventure Tours,5.0,2,293.46,1.5
Tuna Auction and Tokyo Toyosu Fish Market Tour,Audio Guides,5.0,12,193.58,4.5
Introductory Tokyo Tour for the first timers: learn basic Travel tips and tricks,Public Transportation Tours,5.0,10,130.32,4.0
Full-Day Kamakura Tour from Tokyo Viewing a Variety of Flowers at Hase Temple,Historical Tours,5.0,14,800.0,6.0
Yukata Dressing Workshop,Photo Shoots,5.0,12,289.6,1.5
Private Transfer from Tokyo Haneda Airport (HND) to Yokohama Port,Transportation Services,5.0,16,600.0,0.5
Experience wearing samurai armor,Fun & Games,5.0,11,296.84,1.0
Japanese SAKE lesson & tasting at Izakaya pub,Food & Drink,5.0,10,1194.59,2.0
Nikko World Heritage 1 Day Tour,Bus Tours,5.0,9,74.44,6.0
Tokyo Disneyland or DisneySea Private Return Transfer - English Speaking Driver,Transportation Services,5.0,8,27.51,1.5
"Full-Day Guided Private Tour in Tokyo, Japan",Historical Tours,5.0,1,130.8,7.0
"Tokyo History Tour with a Local Guide, Private & Tailored to Your Interests",Historical Tours,4.0,4,98.2,3.0
Sumo Morning Training Watch,Martial Arts Classes,5.0,7,75.0,3.0
Private Mount Fuji Tour - up to 9 Travelers,Full-day Tours,5.0,6,477.11,6.0
Tokyo private transfer for Yokohama Port - Toyota HIACE 9 seats,Transportation Services,5.0,7,66.83,0.8
Tokyo City Tour with Daily Chauffeur,Full-day Tours,5.0,5,103.53,6.0
Private Full Day Mount Fuji Tour from Tokyo Including 3 View Spots,Full-day Tours,5.0,5,65.16,6.0
Snow Monkey&Karuizawa Outlet from/to Tokyo and TDR,Full-day Tours,5.0,4,188.24,13.5
Yokohama Port Shared Transfer : from Haneda Airport to Yokohama Port,Transportation Services,5.0,5,1303.19,1.5
Samurai Show Restaurant at Kanda Myoujin『THE SHOW』,Food & Drink,5.0,5,107.88,2.5
Explore The Creative Koenji Neighborhood,City Tours,4.5,11,189.66,3.0
Yokohama Port Shared Transfer : from Tokyo Hotels to Yokohama Port,Transportation Services,5.0,4,130.32,2.0
"Sumo Morning Practice Tour in Tokyo, Sumida city",City Tours,5.0,2,275.12,2.0
Private Full-Day Kamakura-Enoshima Tour with Bilingual driver,Bus Tours,5.0,4,119.29,6.0
"Traditional dance experience in Asakusa, a traditional Tokyo town",Walking Tours,5.0,1,131.42,2.0
7 Kinds of Sake Tasting with Complementary Foods,Food & Drink,5.0,3,238.92,1.5
Japanese Traditional Cooking Class,Food & Drink,5.0,3,39.31,3.0
Drive like KING! Can-am Ryker cruising in Shinjuku **IDP must**,Adventure Tours,5.0,1,18534.27,1.0
2 Day Mount Fuji and Tokyo Tour by Private Car or Wagon,Bus Tours,5.0,3,592.89,48.0
Cultural Private Geisha Transformation with Certified Tokyo Geisha,Unique Experiences,5.0,3,490.0,2.0
Day Trip To Historic Kawagoe From Tokyo,City Tours,5.0,3,21.72,6.0
Birthday celebration surprise with balloon decoration!,Fun & Games,5.0,1,101.94,0.5
Private Transfer to/from Tokyo Narita International Airport (NRT),Transportation Services,3.0,1,106.1,1.2
Tokyo Private Tour to Learn History and Shinto,Historical Tours,4.5,3,126.7,6.0
Highlights & Hidden Gems of Shibuya & Harajuku: Private City Tour,Architecture Tours,5.0,2,397.47,3.0
Tokyo City Private Tour by Subway,Full-day Tours,5.0,2,27.51,6.0
Private Transfer from Tokyo Cruise Port to Tokyo City Hotels,Transportation Services,5.0,1,126.7,0.8
Private Narita International Airport (NRT) Transfers for Tokyo 23 Wards（7Seater）,Transportation Services,5.0,2,39.31,1.2
Kamakura 1 day Private Car/Wagon Tour from Tokyo with “English Speaking Driver”,Bus Tours,5.0,1,800.0,5.5
Classic Mount Fuji One-day Tour with Daily Chauffeur,Full-day Tours,5.0,2,28.08,6.0
Ueno Food Tour With A Local Master Guide Fully Customized,Food & Drink,5.0,2,181.0,4.0
Kawaii walk in Harajuku,Shopping Tours,5.0,2,18534.27,1.5
All-You-Can-Drink Takoyaki Dinner Party with Local people,Food & Drink,5.0,2,165.0,2.0
Private One-way Narita Airport Transfer To/From Tokyo,Transportation Services,5.0,2,7.24,1.0
Samurai & Ninja experience! !,Sports Lessons,5.0,2,313.91,1.0
Private Mount Takao Hiking Tour from Tokyo,Likely To Sell Out,5.0,2,92.82,6.0
Hakone Private Two Day Tour from Tokyo with Overnight Stay in Ryokan,Multi-day Tours,5.0,2,189.66,48.0
Private Tokyo Tour of the Sunshine Aquarium and 823ft Observatory,Night Tours,5.0,1,253.4,3.0
Samurai Show Restaurant at Kanda Myoujin『THE SHOW』,Food & Drink,5.0,2,59.37,2.5
Private Mount Takao Hiking Tour from Tokyo,Likely To Sell Out,5.0,2,57.92,6.0
Private Transfer from Tokyo Cruise Port to Tokyo City Hotels,Transportation Services,4.5,2,86.01,0.8
Private Mount Fuji Tour - up to 9 Travelers,Full-day Tours,5.0,1,94.12,6.0
Private Transfer from Tokyo Haneda Airport (HND) to Yokohama Port,Transportation Services,5.0,1,106.1,0.5
"Tokyo Highlights, Imperial Palace, Kiyosumi Garden, Ukiyo-e Museum",Rail Tours,5.0,1,119.29,6.5
Private Narita International Airport (NRT) Transfers for Tokyo 23 Wards（7Seater）,Transportation Services,5.0,1,137.56,1.2
Tokyo City Private Departure Transfers to Yokohama Port,Transportation Services,5.0,1,115.84,1.0
Audio-Guide Tour Akihabara's Otaku Culture and TechBazaar,Walking Tours,5.0,1,275.12,1.0
Private Tokyo Tour of the Sunshine Aquarium and 823ft Observatory,Night Tours,5.0,1,202.72,3.0
Tokyo Layover Tour with a Local: Private and Tailored to Your Needs,City Tours,5.0,1,202.18,7.0
Ueno Food Tour With A Local Master Guide Fully Customized,Food & Drink,5.0,1,89.99,4.0
guided japanesefood tour in shibuya(tokyo),Food & Drink,5.0,1,61.54,2.5
Day Trip To Historic Kawagoe From Tokyo,City Tours,5.0,1,324.38,6.0
Samurai experience: art of the sword and their world,Sports Lessons,5.0,1,289.6,4.0
Tokyo Tea Ceremony Experience,Food & Drink,5.0,1,61.54,1.0
Japanese SAKE lesson & tasting at Izakaya pub,Food & Drink,5.0,1,218.13,2.0
Minato-ku Tokyo Night Touring,Adventure Tours,5.0,1,94.25,2.5
7 Kinds of Japanese Tea Tasting Experience,Food & Drink,5.0,1,32.0,1.5
A typical evening in Shinjuku,Nightlife,5.0,1,217.05,3.0
Samurai & Ninja experience! !,Sports Lessons,5.0,1,181.0,1.0
"Full-Day Guided Private Tour in Tokyo, Japan",Historical Tours,5.0,1,39.0,7.0
Tokyo Private Tour to Learn History and Shinto,Historical Tours,5.0,1,25.34,6.0
Kamakura flower tour,Historical Tours,5.0,1,129.95,7.5
6-Hour-Tour Tokyo Highlights,Public Transportation Tours,5.0,1,35.0,6.0
Private Transfer to/from Tokyo Narita International Airport (NRT),Transportation Services,5.0,1,92.31,1.2
Tokyo Metropolis,Architecture Tours,5.0,1,1035.31,2.5
Private Customizable Walking Tour of Tokyo,Public Transportation Tours,5.0,1,32.58,6.0
3-Hour Guided Musubi Japanese Home Cooking Class,Food & Drink,5.0,1,108.6,2.5
"3-hour Tokyo Good Old Bike Tour - Cycling to the Old towns, Asakusa & Ueno",City Tours,5.0,1,108.6,3.1
"Tokyo Tours By Locals: Private & Tailored to You, See the City Unscripted",City Tours,5.0,1,868.79,6.0
Asakusa Personal Video & Photo with Kimono,Photo Shoots,4.0,2,267.88,1.5
Tokyo Cherry Blossoms blooming spots E-bike 3 hour Tour,Historical Tours,4.0,1,94.12,3.0
Private tour Tokyo - The Harmony of Modernity and Tradition,Unique Experiences,1.0,1,130.0,6.0
Home-style Okonomiyaki & Gyoza class and Local Supermarket Tour,Food & Drink,1.0,1,290.37,2.5
Akihabara Anime Tour: Explore Tokyo’s Otaku Culture,Movie Tours,,,68.78,1.5
"Private Tokyo food scene 6 hour experience: Depatika, street food, izakaya",Unique Experiences,,,72.4,6.0
Tokyo Hidden Izakaya and Sake Small-Group Pub Tour with Local Guide,Spring Break,,,97.74,2.5
SAMURAI Workshop : Journey to the Spirit of the Samurai,Art Classes,,,253.4,2.0
Shibuya Official Walking Tour,City Tours,,,105.59,1.5
Full-Day Accessible Tour of Tokyo for Wheelchair Users,City Tours,,,57.92,6.0
International Shibuya Party Experience,Food & Drink,,,253.4,2.5
Private Market Tour and Cooking Lesson With a Tokyo Native Makiko in Her Home,Unique Experiences,,,1013.59,4.0
Experience the Stunning Nature of Mt.Fuji - Private Tour,Full-day Tours,,,79.64,11.5
Low-cost local pub & bar crawling,Food & Drink,,,108.6,3.0
Private Day Tour in Tokyo with Government-Licensed Guide,Public Transportation Tours,,,193.07,6.0
Morning Sumo Practice Viewing in Tokyo,Historical Tours,,,65.16,3.0
Tokyo Marriage Proposal Planning,Breakfast,,,155.54,1.0
Exciting Nikko - One Day Tour from Tokyo,Historical Tours,,,74.58,6.0
Private Tokyo Cultural Sights Walking Tour,Historical Tours,,,158.0,4.5
Tokyo Food Tour Tsukiji Old Fish Market,Food & Drink,,,10.86,2.0
"Tokyo Shopping Tour with a Local: Unique & Quirky Stores, Private & Custom",City Tours,,,166.52,5.0
Tokyo Asakusa Half Day Walking Tour with Local Guide,Historical Tours,,,231.68,2.5
Asakusa & Ueno (Ameyoko)Tour,Rail Tours,,,195.0,6.0
Vegan / Vegatarian Ramen Tour,Food & Drink,,,50.0,2.0
Private Full-Day Kamakura Tour of Tokyo and Hokoku-ji Temple,Historical Tours,,,500.0,6.0
Tokyo Haneda Airport (HND) to Tokyo hotel/address - Round-Trip Private Transfer,Transportation Services,,,1042.55,0.8
Historic Temple・traditional Japanese garden＆ Eating around at a shopping strip,Rail Tours,,,180.0,5.0
Drinks with Geisha,Food & Drink,,,70.08,1.5
"Nikko Tour, from/to Tokyo City and TDR Area",Full-day Tours,,,321.76,11.5
"Day Trip to Mt. Fuji, Kawaguchiko and Mt. Fuji Panoramic Ropeway",Bus Tours,,,41.0,6.0
Tokyo life after 5 - Foods & Drinks,Food & Drink,,,108.6,3.0
Private tour with Yasushi and Yoko,Public Transportation Tours,,,868.79,6.0
TOKYO Hiking & Onsen & Japanese food,Adventure Tours,,,78.48,5.0
Tokyo PRO private Photoshoot,Photo Shoots,,,123.41,2.0
Departure Transfer from Tokyo City to Haneda Airport HND by van,Transportation Services,,,159.28,0.5
Ramen and Gyoza Cooking Class in Central Tokyo,Food & Drink,,,927.44,3.0
Learn and Train with Samurai in Tokyo [ONLINE],Sports Lessons,,,39.23,1.0
Samurai Experience Mugai Ryu Iaido in Tokyo,Sports Lessons,,,94.12,1.0
Private Full-Day Hakone Tour from Tokyo Including Owakudani Valley,Rail Tours,,,161.29,6.0
Shinjuku And Golden Gai Best Food Tour With A Master local Guide,Coffee & Tea Tours,,,70.08,4.0
Personal prayer at Meiji Shrine!,Historical Tours,,,94.12,1.5
Tokyo Private Chauffeur-English Speaking Driver Option,Transportation Services,,,79.64,7.5
Kamakura Full Day Tour with Licensed Guide and Vehicle from Tokyo,Bus Tours,,,556.03,6.0
Asakusa Historical And Cultural Food Tour With A Friendly Guide,Food & Drink,,,1031.69,4.0
Traditional Furoshiki Cloth Wrapping Experience,Craft Classes,,,1486.6,1.5
Cherry Blossom Tour Tokyo with a Local Guide: Custom & Private,City Tours,,,600.0,4.0
"Cycling along the awesome coast of Odaiba, morning & evening",Bike Tours,,,101.36,3.5
Snap Photo in New Tokyo,Photo Shoots,,,39.31,1.0
"Kamakura Tour, from/to Tokyo City, Yokohama City and TDR Area",Full-day Tours,,,28.96,6.0
Just Moved: Tokyo For New Residents,City Tours,,,526.1,3.0
Tokyo Local Fashion Designers Shopping Tour with a Stylist,Fashion Tours,,,175.23,3.0
Explore Unique Tokyo Streets / Learn with a Pro Photographer,Art Classes,,,111.5,2.0
Full-Day Enoura Observatory and Hakone Hot Spring Private Tour,Bus Tours,,,108.6,9.0
NIKKO PASS All Area,Transportation Services,,,253.4,36.0
Japanese Sample Food Making Experience,Public Transportation Tours,,,3619.97,3.0
Tokyo by Night Photoshoot & Learn,Photo Shoots,,,54.3,2.5
Shamisen Playing Experience,Music Classes,,,143.35,1.0
Vegan Adventure,Adventure Tours,,,977.39,4.0
Private Food Tour in Downtown Yanesen and Nezu Shrine,Food & Drink,,,253.4,3.5
Tokyo Supercars Daikoku Driving Experience,Luxury Car Tours,,,977.39,3.0
Mount Fuji Five Lakes Tour from Tokyo with Guide & Vehicle,Historical Tours,,,72.4,6.0
"Private 4-Day Tokyo and Kyoto: Tsukiji Market, Gion",Bike Tours,,,159.28,72.0
2-Day Tour-The Best of Japan,Historical Tours,,,350.46,48.0
Mt.Fuji & Fruit Picking & Hakone Pirate Ship & Ropeway Day Tour,Full-day Tours,,,106.34,6.0
Private Transfer from Tokyo city hotels to Tokyo Cruise Port,Transportation Services,,,152.04,0.8
Private Tokyo Shinjuku Bus Tour with Licensed Guide,Bus Tours,,,55.69,2.0
Tokyo Private Customize Tour with English Speaking Driver,Historical Tours,,,25.34,6.0
Tokyo Private Transfer from Haneda (HND) airport to central Tokyo,Transportation Services,,,117.87,1.0
Tea Tasting & Japanese Sweets-Making Experience,Food & Drink,,,217.2,2.0
"Candid vintage photo, cafe, shopping, walking, experience w LOCAL",Rail Tours,,,57.08,3.5
Sushi Masterclass Tokyo,Food & Drink,,,70.08,1.5
"TOKYO, MT FUJI , OSAKA, KYOTO 4 DAYS Tour 1-9 Person BY Car",Transportation Services,,,231.68,10.5
Asakusa: 2-hour history exploration,Historical Tours,,,181.0,2.0
Full-Day Panoramic Bus Tour in Tokyo with Bay Cruise,Audio Guides,,,183.34,6.0
"Mt.Fuji & Gotemba Outlet from/to Tokyo, Yokohama City",Full-day Tours,,,33.7,6.0
1 Day Mount Nokogiri Hiking Tour from Tokyo,Likely To Sell Out,,,199.1,6.0
Private & Custom TOKYO Day Tour Toyota COMMUTER (Max 13 Pax),Bus Tours,,,325.8,9.0
Private Tour Akihabara Adventure Explore Tokyo's Electric Town,Walking Tours,,,181.0,3.5
Asakusa: TOKYO SKYTREE exploration after history tour,Audio Guides,,,181.0,3.5
Private Transfer: Tokyo to Haneda Airport HND in Luxury Van,Transportation Services,,,86.88,0.5
Tokyo DisneySea Private Transfer : from Tokyo to DisneySea (One Way),Transportation Services,,,167.42,1.0
Kawagoe Full-Day Private Trip with Government-Licensed Guide,Public Transportation Tours,,,150.0,6.0
Setagaya Cat Tour!,Food & Drink,,,441.45,3.0
Japanese Papier-Mâché Painting Experience in Taito,Craft Classes,,,130.32,0.8
Family-friendly Write your Japanese Name & Learn Trip-Phrases,Japanese Lessons,,,218.65,1.5
Lunch at Tsukiji Market Tour,Breakfast,,,118.81,2.5
Harajuku Kawaii Tour(Private Tour),Shopping Tours,,,65.35,3.0
Japanese autumn lunch,Food & Drink,,,1599.0,3.5
Koto Playing Experience,Music Classes,,,144.8,1.0
1 Day Walking Tour strolling Tsukiji Market and Meiji Shrine Including Asakusa,Historical Tours,,,36.76,6.0
Tokyo Private Custom Tour With Water Bus Ride,Rail Tours,,,579.2,6.0
Transfer in private vehicle from Tokyo Narita Airport to Tokyo City Center,Transportation Services,,,94.12,1.5
Private Transfer from Tokyo Port to Tokyo Narita Int Airport(NRT),Transportation Services,,,74.58,1.5
Enjoy Wonderful Wagyu And Sake In Shinjuku,Food & Drink,,,1380.7,3.0
Toyosu Market and Tuna Cutting Workshop Small Group Guided Tour,Food & Drink,,,163.36,4.0
"Tokyo highlights, Asakusa, Ueno, Yanaka Walking",Rail Tours,,,692.86,6.5
Roppongi Japanese Kimono Experience,Art Classes,,,43.44,2.0
Asakusa: Food replica store visits after history tour,Shopping Tours,,,181.0,3.5
"Tokyo Hippest Neighborhood Tour, Sangenjaya with a Local, Private Custom",City Tours,,,2.9,3.0
Sommelier Guided Pairing: Regional Japanese Food & Craft Beer,Food & Drink,,,297.02,3.0
Ashikaga Flower Park Private Day Tour,Bus Tours,,,36.2,6.0
Professional photo shooting tour around Tokyo.,Fashion Tours,,,289.6,6.5
Private Full-Day Tour of Tokyo with Hotel Pickup,Full-day Tours,,,37.65,6.0
Find out tasty and historical places,Historical Tours,,,81.81,8.5
Fruit cutting & vegetable fruit carving,Food & Drink,,,72.4,1.0
"6 Days Japan Kanto, Kansai Deluxe Tour",Audio Guides,,,94.12,72.0
Tour with Pro Tokyo Photographer and take Edgy Unique Portraits,Fashion Tours,,,1100.47,1.5
"Recommended Delicious Ginza Food Tour, The Largest Congregation of Food Markets",Food & Drink,,,325.8,3.0
